id;ident;type;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;gps_code;iata_code;local_code;home_link;wikipedia_link;keywords
26448;VAJM;medium_airport;Jamnagar Airport;2,24655E+16;7,00126E+15;69;AS;IN;IN-GJ;Jamnagar;yes;VAJM;JGA;;;https://en.wikipedia.org/wiki/Jamnagar_Airport;Jamnagar Air Force Station
26449;VAKE;medium_airport;Kandla Airport;231127;70100304;96;AS;IN;IN-GJ;Kandla;yes;VAKE;IXY;;http://aai.aero/allAirports/kandla_generalinfo.jsp;https://en.wikipedia.org/wiki/Kandla_Airport;
26450;VAKJ;medium_airport;Khajuraho Airport;248172;79918602;728;AS;IN;IN-MP;Khajuraho;yes;VEKO;HJR;;https://www.aai.aero/en/airports/khajuraho;https://en.wikipedia.org/wiki/Khajuraho_Airport;VAKJ
26451;VAKP;medium_airport;Kolhapur Airport;1,66647E+11;7,42894E+11;1996;AS;IN;IN-MM;;yes;VAKP;KLH;;;https://en.wikipedia.org/wiki/Kolhapur_Airport;
26452;VAKS;medium_airport;Keshod Airport;21317101;70270401;167;AS;IN;IN-GJ;Keshod;no;VAKS;IXK;;;;
30180;VAND;medium_airport;Nanded Airport;1,91833E+11;7,73167E+15;1250;AS;IN;IN-MM;Nanded;yes;VAND;NDC;;;https://en.wikipedia.org/wiki/Nanded_Airport;
26453;VANP;medium_airport;Dr. Babasaheb Ambedkar International Airport;21092199;79047203;1033;AS;IN;IN-MM;Nagpur;yes;VANP;NAG;;http://aai.aero/allAirports/nagpur1_generalinfo.jsp;https://en.wikipedia.org/wiki/Dr._Babasaheb_Ambedkar_International_Airport;Sonegaon Airport, Sonegaon Air Force Station
3301;VAOZ;medium_airport;Nashik Airport;20119101;73912903;1900;AS;IN;IN-MM;Nasik;yes;VAOZ;ISK;;;https://en.wikipedia.org/wiki/Nashik_Airport;VA35
26455;VAPO;medium_airport;Pune Airport / Lohagaon Air Force Station;185821;73919701;1942;AS;IN;IN-MM;Pune;yes;VAPO;PNQ;;;https://en.wikipedia.org/wiki/Pune_Airport;Lohegaon Airport, Lohegaon Air Force Station
26456;VAPR;medium_airport;Porbandar Airport;21649524;69656405;23;AS;IN;IN-GJ;Porbandar;yes;VAPR;PBD;;http://www.airportsindia.org.in/allAirports/porbander.jsp;https://en.wikipedia.org/wiki/Porbandar_Airport;
26457;VARG;medium_airport;Ratnagiri Airport;17013599;73327797;305;AS;IN;IN-MM;;no;VARG;RTC;;;https://en.wikipedia.org/wiki/Ratnagiri_Airport;
26458;VARK;medium_airport;Rajkot Airport;2,23092E+11;7,07795E+15;441;AS;IN;IN-GJ;Rajkot;yes;VARK;RAJ;;http://www.airportsindia.org.in/allAirports/rajkot.jsp;https://en.wikipedia.org/wiki/Rajkot_Airport;
327452;VASD;medium_airport;Shirdi Airport;19688752;74377354;1926;AS;IN;IN-MM;Kakadi;yes;VASD;SAG;;;https://en.wikipedia.org/wiki/Shirdi_Airport;Ahmednagar, Saibaba
26460;VASL;medium_airport;Solapur Airport;1,7628E+11;7,59348E+15;1584;AS;IN;IN-MM;Solapur;no;VASL;SSE;;;https://en.wikipedia.org/wiki/Solapur_Airport;Sholapur
26461;VASU;medium_airport;Surat Airport;2,11141E+11;7,27418E+11;16;AS;IN;IN-GJ;;yes;VASU;STV;;;;
26462;VAUD;medium_airport;Maharana Pratap Airport;2,46177E+16;7,38961E+15;1684;AS;IN;IN-RJ;Udaipur;yes;VAUD;UDR;;http://www.airportsindia.org.in/allAirports/udaipur_airpo_gi.jsp;https://en.wikipedia.org/wiki/Udaipur_Airport;Dabok Airport
26463;VCBI;large_airport;Bandaranaike International Colombo Airport;7,18076E+15;7,98841E+15;30;AS;LK;LK-1;Colombo;yes;VCBI;CMB;;http://www.airport.lk/;https://en.wikipedia.org/wiki/Bandaranaike_International_Airport;RAF Negombo, Katunayake International Airport
26464;VCCA;medium_airport;Anuradhapura Airport;8301542;8042848;324;AS;LK;LK-7;Anuradhapura;no;VCCA;ACJ;;;https://en.wikipedia.org/wiki/Anuradhapura_Airport;SLAF Anuradhapura
26465;VCCB;medium_airport;Batticaloa Airport;770576;81678802;20;AS;LK;LK-5;Batticaloa;yes;VCCB;BTC;;;https://en.wikipedia.org/wiki/Batticaloa_Airport;
26466;VCCC;medium_airport;Colombo Ratmalana Airport;6,82199E+15;7,98862E+15;22;AS;LK;LK-1;Colombo;yes;VCCC;RML;;;https://en.wikipedia.org/wiki/Ratmalana_Airport;
26467;VCCG;medium_airport;Ampara Airport;7336745;81623869;150;AS;LK;LK-5;Ampara;no;VCCG;ADP;;;https://en.wikipedia.org/wiki/Amparai_Airport;GOY, Gal Oya Airport
31927;VCCH;medium_airport;Hingurakgoda Air Force Base;804981;809814;170;AS;LK;LK-7;Polonnaruwa Town;no;VCCH;HIM;;http://www.airforce.lk/pages.php?pages=hingurakgoda;https://en.wikipedia.org/wiki/Hingurakgoda_Airport;MNH, Minneriya Airport
26468;VCCJ;medium_airport;Jaffna International Airport;979233;80070099;33;AS;LK;LK-4;Jaffna;yes;VCCJ;JAF;;;https://en.wikipedia.org/wiki/Jaffna_International_Airport;SLAF Palaly, Kankesanturai
26469;VCCK;medium_airport;Koggala Airport;5,99368E+15;8,03203E+15;10;AS;LK;LK-3;Galle;yes;VCCK;KCT;;;https://en.wikipedia.org/wiki/Koggala_Airport;SLAF Koggala
26471;VCCT;medium_airport;China Bay Airport;8,53851E+13;8,11819E+15;6;AS;LK;LK-5;Trincomalee;yes;VCCT;TRR;;;https://en.wikipedia.org/wiki/China_Bay_Airport;SLAF China Bay, RAF China Bay, Trincomalee Airport
309579;VCRI;large_airport;Mattala Rajapaksa International Airport;6284467;81124128;157;AS;LK;LK-3;;yes;VCRI;HRI;VCRI;http://www.mria.lk/;https://en.wikipedia.org/wiki/Mattala_Rajapaksa_International_Airport;Hambantota International Airport
